PharmacyID,fac_id,dsps_dtm,change_dtm,pack,estimated,cum
3INDI,88,20200125,20200125,963,1348.2,1348.2
3INDI,88,20200126,20200126,976,1366.4,2714.6
3INDI,88,20200127,20200127,1009,1412.6,4127.2
3INDI,88,20200128,20200128,981,1373.4,5500.6
3INDI,88,20200129,20200129,1015,1421.0,6921.6
3INDI,90,20200125,20200125,793,1110.2,1110.2
3INDI,90,20200126,20200126,785,1099.0,2209.2
3INDI,90,20200127,20200127,796,1114.4,3323.6
3INDI,90,20200128,20200128,806,1128.4,4452.0
3INDI,90,20200129,20200129,821,1149.4,5601.4
3INDI,92,20200125,20200125,996,1394.4,1394.4
3INDI,92,20200126,20200126,962,1346.8,2741.2
3INDI,92,20200127,20200127,953,1334.2,4075.4
3INDI,92,20200128,20200128,926,1296.4,5371.8
3INDI,92,20200129,20200129,916,1282.4,6654.2
3INDI,93,20200125,20200125,738,1033.2,1033.2
3INDI,93,20200126,20200126,741,1037.4,2070.6
3INDI,93,20200127,20200127,791,1107.4,3178.0
3INDI,93,20200128,20200128,755,1057.0,4235.0
3INDI,93,20200129,20200129,767,1073.8,5310.2
3INDI,93,20200129,20200130,1,1.4,5310.2
3INDI,96,20200125,20200125,680,952.0,952.0
3INDI,96,20200126,20200126,661,925.4,1877.4
3INDI,96,20200127,20200127,348,487.2,2364.6
3INDI,96,20200128,20200128,684,957.6,3322.2
3INDI,96,20200129,20200129,459,642.6,3964.8
3INDI,97,20200125,20200125,965,1351.0,1351.0
3INDI,97,20200126,20200126,945,1323.0,2674.0
3INDI,97,20200127,20200127,933,1306.2,3980.2
3INDI,97,20200128,20200128,970,1358.0,5338.2
3INDI,97,20200129,20200129,942,1318.8,6657.0
3INDI,98,20200125,20200125,381,533.4,533.4
3INDI,98,20200126,20200126,371,519.4,1052.8
3INDI,98,20200127,20200127,408,571.2,1624.0
3INDI,98,20200128,20200128,402,562.8,2186.8
3INDI,98,20200129,20200129,369,516.6,2703.4
3INDI,128,20200125,20200125,916,1282.4,1283.8
3INDI,128,20200125,20200126,1,1.4,1283.8
3INDI,128,20200126,20200126,927,1297.8,2581.6
3INDI,128,20200127,20200127,915,1281.0,3864.0
3INDI,128,20200127,20200128,1,1.4,3864.0
3INDI,128,20200128,20200128,942,1318.8,5182.8
3INDI,128,20200129,20200129,946,1324.4,6507.2
3INDI,218,20200125,20200125,396,554.4,866.6
3INDI,218,20200125,20200126,223,312.2,866.6
3INDI,218,20200126,20200126,608,851.2,1717.8
3INDI,218,20200127,20200127,646,904.4,2665.6
3INDI,218,20200127,20200128,31,43.4,2665.6
3INDI,218,20200128,20200128,614,859.6,3572.8
3INDI,218,20200128,20200129,34,47.6,3572.8
3INDI,218,20200129,20200129,656,918.4,4543.0
3INDI,218,20200129,20200130,37,51.8,4543.0
3INDI,220,20200125,20200125,528,739.2,739.2
3INDI,220,20200126,20200126,521,729.4,1468.6
3INDI,220,20200127,20200127,505,707.0,2175.6
3INDI,220,20200128,20200128,516,722.4,2898.0
3INDI,220,20200129,20200129,507,709.8,3607.8
3INDI,242,20200125,20200125,623,872.2,872.2
3INDI,242,20200126,20200126,608,851.2,1723.4
3INDI,242,20200127,20200127,642,898.8,2622.2
3INDI,242,20200128,20200128,620,868.0,3490.2
3INDI,242,20200129,20200129,633,886.2,4376.4
3INDI,256,20200125,20200125,984,1377.6,1472.8
3INDI,256,20200125,20200126,68,95.2,1472.8
3INDI,256,20200126,20200126,1045,1463.0,2945.6
3INDI,256,20200126,20200127,7,9.8,2945.6
3INDI,256,20200127,20200127,1039,1454.6,4403.0
3INDI,256,20200127,20200128,2,2.8,4403.0
3INDI,256,20200128,20200128,1039,1454.6,5859.0
3INDI,256,20200128,20200129,1,1.4,5859.0
3INDI,256,20200129,20200129,1051,1471.4,7330.4
3INDI,257,20200125,20200125,537,751.8,753.2
3INDI,257,20200125,20200126,1,1.4,753.2
3INDI,257,20200126,20200126,530,742.0,1495.2
3INDI,257,20200127,20200127,550,770.0,2270.8
3INDI,257,20200127,20200128,4,5.6,2270.8
3INDI,257,20200128,20200128,517,723.8,3000.2
3INDI,257,20200128,20200129,4,5.6,3000.2
3INDI,257,20200129,20200129,569,796.6,3796.8
3INDI,259,20200125,20200125,1270,1778.0,2230.2
3INDI,259,20200125,20200126,323,452.2,2230.2
3INDI,259,20200126,20200126,1484,2077.6,4366.6
3INDI,259,20200126,20200127,42,58.8,4366.6
3INDI,259,20200127,20200127,1481,2073.4,6525.4
3INDI,259,20200127,20200128,61,85.4,6525.4
3INDI,259,20200128,20200128,1141,1597.4,8701.0
3INDI,259,20200128,20200129,413,578.2,8701.0
3INDI,259,20200129,20200129,1217,1703.8,10980.2
3INDI,259,20200129,20200130,411,575.4,10980.2
3INDI,276,20200125,20200125,803,1124.2,1617.0
3INDI,276,20200125,20200126,352,492.8,1617.0
3INDI,276,20200126,20200126,1056,1478.4,3095.4
3INDI,276,20200127,20200127,466,652.4,3747.8
3INDI,276,20200128,20200128,1101,1541.4,5572.0
3INDI,276,20200128,20200129,202,282.8,5572.0
3INDI,276,20200129,20200129,1347,1885.8,7457.8
3INDI,1109,20200125,20200125,937,1311.8,1311.8
3INDI,1109,20200126,20200126,932,1304.8,2616.6
3INDI,1109,20200127,20200127,921,1289.4,3906.0
3INDI,1109,20200128,20200128,918,1285.2,5191.2
3INDI,1109,20200129,20200129,835,1169.0,6360.2
3INDI,1110,20200125,20200125,747,1045.8,1045.8
3INDI,1110,20200126,20200126,749,1048.6,2094.4
3INDI,1110,20200127,20200127,740,1036.0,3130.4
3INDI,1110,20200128,20200128,746,1044.4,4174.8
3INDI,1110,20200129,20200129,731,1023.4,5198.2
3INDI,1111,20200125,20200125,375,525.0,525.0
3INDI,1111,20200126,20200126,363,508.2,1034.6
3INDI,1111,20200126,20200127,1,1.4,1034.6
3INDI,1111,20200127,20200127,371,519.4,1554.0
3INDI,1111,20200128,20200128,379,530.6,2084.6
3INDI,1111,20200129,20200129,353,494.2,2578.8
3INDI,1202,20200125,20200125,739,1034.6,1034.6
3INDI,1202,20200126,20200126,743,1040.2,2074.8
3INDI,1202,20200127,20200127,808,1131.2,3206.0
3INDI,1202,20200128,20200128,801,1121.4,4327.4
3INDI,1202,20200129,20200129,804,1125.6,5453.0
3INDI,1324,20200125,20200125,1274,1783.6,1783.6
3INDI,1324,20200126,20200126,1244,1741.6,3525.2
3INDI,1324,20200127,20200127,1242,1738.8,5264.0
3INDI,1324,20200128,20200128,1270,1778.0,7042.0
3INDI,1324,20200129,20200129,1222,1710.8,8752.8
3INDI,2046,20200125,20200125,1502,2102.8,2102.8
3INDI,2046,20200126,20200126,1532,2144.8,4247.6
3INDI,2046,20200127,20200127,1510,2114.0,6361.6
3INDI,2046,20200128,20200128,1530,2142.0,8503.6
3INDI,2046,20200129,20200129,1510,2114.0,10617.6
3INDI,2158,20200125,20200125,721,1009.4,1156.4
3INDI,2158,20200125,20200126,105,147.0,1156.4
3INDI,2158,20200126,20200126,801,1121.4,2286.2
3INDI,2158,20200126,20200127,6,8.4,2286.2
3INDI,2158,20200127,20200127,812,1136.8,3423.0
3INDI,2158,20200128,20200128,801,1121.4,4559.8
3INDI,2158,20200128,20200129,11,15.4,4559.8
3INDI,2158,20200129,20200129,790,1106.0,5670.0
3INDI,2158,20200129,20200130,3,4.2,5670.0
3INDI,2272,20200125,20200125,695,973.0,973.0
3INDI,2272,20200126,20200126,684,957.6,1933.4
